14 декабря, ул., рус
Грибна- 1, вул., укр
Грибна- 2, вул., укр
Грибоєдова, пров., укр
Григорія Сковороди, вул., укр
Гризодубової, вул., укр
Гризодубової, пров., укр
Громова, пров., укр
Грузевича, пров., укр
Грузиненка, вул., укр
Гуржіївська, вул., укр
Дахнівська Січ, вул., укр
Дахнівська, вул., укр
Дачний, пров., укр
Дачний, узвіз, укр
Декабристів, пров., укр
Десантників, вул., укр
Джаліля, вул., укр
Дзержинського, пров., укр
Дмитра Гуні, пров., укр
Дніпровський, пров., укр
Добровольського, вул., укр
Добровольчих батальйонів, вул., укр
Дружби, пров., укр
Енергетичний, пров., укр
Енергобудівельників, проїзд, укр
Євгена Кухарця, вул., укр
Житлокоопівський, пров., укр
Жовтнева, вул., укр
Жуковського, пров., укр
Заводський, пров., укр
Залізничний, пров., укр
Залізничний, проїзд, укр
Замковий, узвіз, укр
Зарічна, вул., укр
Затишна, вул., укр
Звенигородський, пров., укр
Зв'язківців, пров., укр
Зелений, пров., укр
Зелінського, вул., укр
Землевпорядна, вул., укр
Зінченка, вул., укр
Змагайлівський, пров., укр
Зої Космодем'янської, пров., укр
Золотоніська, вул., укр
Зоряна, вул., укр
Івана Гонти, вул., укр
Івана Гука, пров., укр
Івана Котляревського, вул., укр
Івана Кулика, вул., укр
Івана Ле, вул., укр
Івана Піддубного, пров., укр
Івана Франка, вул., укр
Івана Франка, узвіз, укр
Ігоря Бойка, вул., укр
Кавказька, вул., укр
Казбетська, вул., укр
Калинова, вул., укр
Канівська, вул., укр
Капітана Лифаря, пров., укр
Капітана Пилипенка, вул., укр
Карбишева, вул., укр
Кармелюка, пров., укр
Квіткова, вул., укр
Кібенка, вул., укр
Клименківський, пров., укр
Кобзарська, вул., укр
Козацька, вул., укр
Композитора Миколи Лисенка, вул., укр
Комунальний, пров., укр
Кооперативна, вул., укр
Короленка, вул., укр
Корольова, вул., укр
Короткий, пров., укр
Косинська Корчма, пров., укр
Космонавтів, вул., укр
Космонавтів, пров., укр
Котовського, пров., укр
Коцюбинського, вул., укр
Коцюбинського, пров., укр
Крайній, вул., укр
Крайній, пров., укр
Кривалівська, вул., укр
Кривий, пров., укр
Крилова, вул., укр
Крилова, пров., укр
Кропивницького, пров., укр
Кузьми Скрябіна, пров., укр
Курортна, вул., укр
Курортний, пров., укр
Кутузова, пров., укр
Лазарєва, вул., укр
Лермонтова, пров., укр
Лесі Українки, вул., укр
Лісна, вул., укр
Лісництво, вул., укр
Лісницька, вул., укр
Лісова Просіка, вул., укр
Лісова, вул., укр
Ломоносова, пров., укр
Лук'янова, вул., укр
Луценка, вул., укр
Майора Зайцева, пров., укр
Макара Кушніра, пров., укр
Макаренка, пров., укр
Макарова, пров., укр
Максима Залізняка, вул., укр
Максима Кривоноса, вул., укр
Мальовнича, вул., укр
Матросова, пров., укр
Маяковського, пров., укр
Медичний, пров., укр
Менделєєва, вул., укр
Мечнікова, вул., укр
Миколи Калашника, пров., укр
Миколи Негоди, вул., укр
Мирний, пров., укр
Мисливський, узвіз, укр
Митницька, вул., укр
Михайла Грушевського, вул., укр
Михайла Максимовича, вул., укр
Михайла Сироти, пров., укр
Михайла Ханенка, пров., укр
Мічуріна, пров., укр
Можайського, вул., укр
Молдавський, пров., укр
Молодшого сержанта Каравайського, пров., укр
Молоткова, вул., укр
Молоткова, пров., укр
Мошногірська, вул., укр
Набережна, вул., укр
Надпільна, вул., укр
Нарбутівська, вул., укр
Наталії Ужвій, пров., укр
Нахімова, пров., укр
Небесної Сотні, вул., укр
Некрасова, вул., укр
Некрасова, пров., укр
Нестерова, пров., укр
Нечуя - Левицького, вул., укр
Нижня Горова, вул., укр
Нова, вул., укр
Новопречистенська, вул., укр
О. Дашкевича, вул., укр
Оборонна, вул., укр
Одеська, вул., укр
Окружний, пров., укр
Олега Кошового, пров., укр
Олександра Маломужа, вул., укр
Олексія Баранникова, пров., укр
Олексія Панченка, вул., укр
Олени Теліги, вул., укр
Ольги Павловської, пров., укр
Онопрієнко, вул., укр
Осипенка, пров., укр
Остафія Дашковича, вул., укр
Отамана Деркача, пров., укр
Павла Бута, пров., укр
Павла Тичини, вул., укр
Павлова, пров., укр
Пальохи, вул., укр
Памфіла Юркевича, пров., укр
Панфіловців, пров., укр
Парковий, пров., укр
Парковий, узвіз, укр
Партизанський, пров., укр
Пастерівська, вул., укр
Пастерівський, пров., укр
Пастерівський, узвіз, укр
Пахарів Хутір, вул., укр
Пацаєва, вул., укр
Пацаєва, пров., укр
Перемоги, пров., укр
Першотравнева, вул., укр
Першотравневий, пров., укр
Пирогова, пров., укр
Південний, пров., укр
Підгірна, вул., укр
Піщаний, пров., укр
Пластунівська, вул., укр
Поднєвіча, вул., укр
Подолінського, вул., укр
Пожежний, узвіз, укр
Поліграфічний, пров., укр
Поліська, вул., укр
Полковника Бурляя, пров., укр
Попова, пров., укр
Портова, вул., укр
Поштовий, пров., укр
Правика, вул., укр
Праслов'янська, вул., укр
Праці, пров., укр
Пржевальського, пров., укр
Привокзальна, вул., укр
Прикордонника Лазаренка, вул., укр
Припортова, вул., укр
Промисловий, пров., укр
Профспілковий, пров., укр
Пугачова, пров., укр
Пушкіна, вул., укр
Пушкіна, пров., укр
Пушкіна, узвіз, укр
Радищева, пров., укр
Раїси Кириченко, пров., укр
Раскової, пров., укр
Рєпіна, вул., укр
Рєпіна, пров., укр
Рибальський, пров., укр
Рильського, пров., укр
Різдвяна, вул., укр
Робітничий, пров., укр
Розкопна, вул., укр
Романа, вул., укр
Руставі, вул., укр
Руськополянський, пров., укр
Ручай, пров., укр
Садова, вул., укр
Садовий, пров., укр
Самійла Кішки, вул., укр
Свидівоцька, вул., укр
Свободи, пров., укр
Свято-Макаріївська, вул., укр
Святотроїцька, вул., укр
Седова, пров., укр
Серафімовича, пров., укр
Сергія Амброса, вул., укр
Сержанта Волкова, вул., укр
Сержанта Жужоми, вул., укр
Сержанта Смірнова, вул., укр
Симиренківська, вул., укр
Симоненка, вул., укр
Січовий, пров., укр
Слави, вул., укр
Слобідський, пров., укр
Смаглія, вул., укр
Смілянська, вул., укр
Смілянський, пров., укр
Сонячна, вул., укр
Соснівська, вул., укр
Софії Ковалевської, пров., укр
Спиридона Кириченка, вул., укр
Спортивний, пров., укр
Старий, пров., укр
Старособорний, узвіз, укр
Старшини Бойка, вул., укр
Старшого лейтенанта Битюцького, вул., укр
Старшого лейтенанта Маци, пров., укр
Старшого лейтенанта Подолянчука, вул., укр
Стасова, вул., укр
Степана Разіна, пров., укр
Степовий, пров., укр
Стрілецький, узвіз, укр
Суботівський, пров., укр
Суботіна, вул., укр
Суворова, пров., укр
Судовий, пров., укр
Судоремонтний, пров., укр
Сумгаїтська, вул., укр
Сурікова, вул., укр
Східна, вул., укр
Східний, пров., укр
Танкістів, вул., укр
Тараскова, вул., укр
Татинецька, вул., укр
Татинецький, пров., укр
Тимірязєва, пров., укр
Тихий, пров., укр
Тобілевича, пров., укр
Тодося Осьмачки, пров., укр
Толстого, вул., укр
Транспортний, пров., укр
Тургенєва, вул., укр
Удода, узвіз, укр
Уманський, пров., укр
Університетська, вул., укр
Ушакова, пров., укр
Федора Вешняка, пров., укр
Філатова, пров., укр
Фруктовий, пров., укр
Харківський, пров., укр
Хижняківський, пров., укр
Хіміків, просп., укр
Хімічний, пров., укр
Хоменка, вул., укр
Хоменка, пров., укр
Хрещатик, вул., укр
Цегельний, пров., укр
Ціолковського, вул., укр
Чайковського, вул., укр
Чайковського, пров., укр
Чалова, пров., укр
Черкаський, пров., укр
Черняховського, пров., укр
Чехова, вул., укр
Чигиринська, вул., укр
Чигиринський, пров., укр
Чиковані, вул., укр
Чумацька, вул., укр
Шевченка, бульв., укр
Шевченка, вул., укр
Шкільний, пров., укр
Юнацький, пров., укр
Юрія Іллєнка, вул., укр
Юрія Тарасенка, вул., укр
Яблунева, вул., укр
Якубовського, вул., укр
Ярмаркова, вул., укр
Ярослава Мудрого, вул., укр
Ярослава Чалого, вул., укр
Яцика, вул., укр
Яцька Остряниці, пров., укр

