1 Травня, вул., укр
Чебоксарська, вул., укр
Челюскина, вул., укр
Червоноармійська, вул., укр
Череповецька, вул., укр
Черкаська, вул., укр
Чернишевського, вул., укр
Чернігівська, вул., укр
Черняховського, вул., укр
Чехмистренка, вул., укр
Чехова, вул., укр
Чкалова, вул., укр
Чорноморська, вул., укр
Чумацький, пров., укр
Шанхайська, вул., укр
Шатурська, вул., укр
Шахтарська, вул., укр
Шахтерська, вул., укр
Шахтинська, вул., укр
Шварова, вул., укр
Шевченка, вул., укр
Ширшова, вул., укр
Шкільна, вул., укр
Шкільний, пров., укр
Шмідта, вул., укр
Щорса, вул., укр
Ювілейна, вул., укр
Явірську, вул., укр
Якутська, вул., укр
Ярослава Мудрого, вул., укр
Ярославська, вул., укр
Ясенева, вул., укр
Ясна, вул., укр
