Ивановский , переезд, рус
Известковая, ул., рус
Известковый, пер., рус
Измаильская, ул., рус
Ильичевская, ул., рус
Ильичевский, пер., рус
Ильфа и Петрова, ул., рус
имени 20-летия пожарной охраны, ул., рус
Инвалидная, ул., рус
Инвалидный, пер., рус
Индийская, ул., рус
Индустриальная, ул., рус
Инженерный, пер., рус
Иннокентиевская, ул., рус
Иностранной коллегии, ул., рус
Институтская, ул., рус
Инструментальная, ул., рус
Интернациональный, пер., рус
Иосифа Тимченко, ул., рус
Ипподромная, ул., рус
Ипподромный, пер., рус
Искусств, бульвар, рус
Испанская, ул., рус
Итальянская, ул., рус
Итальянский , бульвар, рус
Ицхака Рабина, ул., рус
Июльская, ул., рус
Кавказская, ул., рус
Кавказский, пер., рус
Кагановича, ул., рус
Казанская, ул., рус
Казанский, пер., рус
Казарменный, пер., рус
Калинина, ул., рус
Каманина, ул., рус
Канатная, ул., рус
Канатный, пер., рус
Канатный, спуск, рус
Кангуна, спуск, рус
Кангуна, ул., рус
Капитана Гаврикова, ул., рус
Капитана Кузнецова, ул., рус
Карангозова, ул., рус
Карантинная , балка, рус
Карантинная, ул., рус
Карантинный, спуск, рус
Каретный, пер., рус
Карла Либкнехта, пл., рус
Карла Либкнехта, ул., рус
Карла Маркса, ул., рус
Карла Маркса, ул. 1-я, рус
Карпатская, ул., рус
Карпинского, ул., рус
Картамышевская, ул., рус
Карьерная, ул., рус
Каспийский, пер., рус
Катаева, пер., рус
Католикова, ул., рус
Каховская, ул., рус
Каховский, пер., рус
Качалова, ул., рус
Качиньского, ул., рус
Каштановая, ул., рус
Каштановый, пер., рус
Кедровый, пер., рус
Керченская, ул., рус
Керченский, пер., рус
Кибальчича, ул., рус
Киевская, дорога, рус
Киевская, ул., рус
Киевское , шоссе, рус
Килевой, пер., рус
Кима, ул., рус
Кипарисный, пер., рус
Кирова, сквер, рус
Кирова, ул., рус
Кировский, пер., рус
Кирпичная, ул., рус
Кирпичный, пер., рус
Китобойная, ул., рус
Китобойный, пер., рус
Кишиневская, ул., рус
Кладбищенская, ул., рус
Кладбищенский, пер., рус
Клары Цеткин, ул., рус
Кленовая, ул., рус
Клименко, ул., рус
Климовский, пер., рус
Клиновая, ул., рус
Клубничный, пер., рус
Ключевой, пер., рус
Книжный, пер., рус
Княжеская, ул., рус
Княжеский, пер., рус
Коблевская, ул., рус
Ковалевского, пер., рус
Ковалевского, спуск, рус
Ковалевского, ул., рус
Ковальского, ул., рус
Ковровый, пер., рус
Ковыльный, пер., рус
Кодымский, пер., рус
Коккинаки, пер., рус
Коккинаки, пл., рус
Коккинаки, ул., рус
Коллективная, ул., рус
Коллективный, пер., рус
Колодезный, пер., рус
Колонистская, ул., рус
Колоническая, ул., рус
Колонтаевская, ул., рус
Колхозная, ул., рус
Колхозный, пер., рус
Колхозный, пер. 2-й, рус
Кольцевая, ул., рус
Коминтерна, ул., рус
Комиссариатская, ул., рус
Комитета обороны, ул., рус
Комитетская, ул., рус
Коммунальная, ул., рус
Коммунальный, спуск, рус
Коммуны, пл., рус
Компасный, пер., рус
Композитора Глинки, ул., рус
Композитора Нищинского, ул., рус
Комсомольская, ул., рус
Комсомольский , бульвар, рус
Комсомольский, пер., рус
Комсомольского Племени, ул., рус
Кондратенко, пл., рус
Кондратенко, ул., рус
Кондрашина, ул., рус
Конная, пл., рус
Конная, ул., рус
Конноармейская, ул., рус
Конной Дивизии, ул., рус
Конно-рыночная, ул., рус
Конный, пер., рус
Конституции СССР, пл., рус
Конструкторский, пер., рус
Контр-адмирала Лунина, ул., рус
Кооперативная, ул., рус
Корабельная, ул., рус
Кордонная, ул., рус
Кордонный, пер., рус
Коровицкого, ул., рус
Короленко, спуск, рус
Короленко, ул., рус
Короткий, пер., рус
Косвенная, ул., рус
Космонавта Комарова, ул., рус
Космонавтов, ул., рус
Косовская, ул., рус
Косой, пер., рус
Костанди, пер., рус
Костанди, ул., рус
Костецкая, ул., рус
Косяненко, ул., рус
Котлеевская, ул., рус
Котляревского, ул., рус
Котовского, дорога, рус
Котовского, ул., рус
Коцюбинского, ул., рус
Кошелева, ул., рус
Крайняя, ул., рус
Крамского, пер., рус
Красная, ул., рус
Красноармейская, ул., рус
Краснова, ул., рус
Краснознаменная, ул., рус
Красной Армии, пл., рус
Красной Армии, ул., рус
Красной Гвардии, пер., рус
Красной Гвардии, ул., рус
Краснослободская, ул., рус
Краснофлотский, пер., рус
Красный, пер., рус
Красных Зорь, ул., рус
Красных Партизан, пер., рус
Красных Партизан, ул., рус
Кренкеля, пер., рус
Кренкеля, ул., рус
Крестовая, ул., рус
Крестьянский, спуск, рус
Кривобалковская, ул., рус
Кропивницкого, ул., рус
Круглая, пл., рус
Круговая, ул., рус
Круговой, пер., рус
Крупской, ул., рус
Крыжановский, пер., рус
Крылова, ул., рус
Крымская, ул., рус
Крымский, пер., рус
Кузнечная, ул., рус
Куйбышева, ул., рус
Куликово Поле, пл., рус
Куликовский, пер., рус
Куницы, ул., рус
Купальный, пер., рус
Куприна, ул., рус
Курганская, ул., рус
Курортный, пер., рус
Курская, ул., рус
Кустанайская, ул., рус
Кустанайский, пер., рус
Кутузова, ул., рус
Кутузовский, пер., рус
Лабораторная, ул., рус
Лавочная, ул., рус
Лагерная, ул., рус
Лазарева, ул., рус
Лазо, ул., рус
Лазурный, пер., рус
Ланжероновская, пл., рус
Ланжероновская, ул., рус
Ланжероновский, спуск, рус
Ларшукина, пер., рус
Лассаля, ул., рус
Ласточкина, спуск, рус
Ласточкина, ул., рус
Латвийский, спуск, рус
Левадная, ул., рус
Леваневского, пер., рус
Леваневского, спуск, рус
Леваневского, ул., рус
Леваневского тупик,, рус
Левашевская, ул., рус
Левашевский, спуск, рус
Левитана, пер., рус
Левитана, ул., рус
Левкойная, ул., рус
Лейтенанта Шмидта, ул., рус
Лейтенантский, пер., рус
Ленина , проезд, рус
Ленина, ул., рус
Ленинградская, ул., рус
Ленинградское , шоссе, рус
Ленинского батальона, ул., рус
Ленинского комсомола, пл., рус
Ленинской «Искры», ул., рус
Леонова, ул., рус
Леонтовича, ул., рус
Лермонтовская, ул., рус
Лермонтовский, пер., рус
Леси русаинки, пер., рус
Леси русаинки, ул., рус
Лесная, ул., рус
Лесной, пер., рус
Летний, пер., рус
Летняя, ул., рус
Лидерсовский , бульвар, рус
Лидии Книпович, спуск, рус
Лизогуба, спуск, рус
Лизогуба, ул., рус
Лизы Чайкиной, ул., рус
Лиманная, ул., рус
Лиманный, пер., рус
Линейная, ул., рус
Линейный, пер., рус
Линия 1-я , ул., рус
Липинский, пер., рус
Липинский овраг , балка, рус
Лиственная, ул., рус
Лиственный, пер., рус
Литейная, ул., рус
Литейный, пер., рус
Литературная, ул., рус
Литовская, ул., рус
Лобачевского, ул., рус
Лодочный, пер., рус
Локомотивная, ул., рус
Локомотивный, пер., рус
Ломанный, пер., рус
Ломоносова, ул., рус
Лопатто, пер., рус
Лопатто, ул., рус
Лотосовый, пер., рус
Луганская, ул., рус
Луговая, ул., рус
Лузановская, ул., рус
Лузановский, пер., рус
Луначарского, ул., рус
Лунный, пер., рус
Луцкая, ул., рус
Лучистая, ул., рус
Любашевский, пер., рус
Людмилы Гинзбург, пер., рус
Люстдорфская, дорога, рус
Люстдорфской дороги , станция, рус
Лютеранский, пер., рус
Лядова, ул., рус
Ляпидевского, пер., рус
Ляпидевского, ул., рус
Ляпунова, пер., рус
Льва Толстого, пер., рус
Льва Толстого, пл., рус
Льва Толстого, ул., рус
Львовская, ул., рус
Львовский, пер., рус
Магистральная, ул., рус
Магнитогорская, ул., рус
Магнитогорский, пер., рус
Майский, пер., рус
Макаренко, ул., рус
Макарова, ул., рус
Маковая, ул., рус
Маковый, пер., рус
Маланова, пер., рус
