1905-го года, ул., рус
Саксаганского, ул., рус
Салганная, ул., рус
Саломеи Крушельницкой, ул., рус
Самойловский, пер., рус
Светловодский, пер., рус
Свободной русаины, ул., рус
Северина Наливайко, ул., рус
Северный, пер., рус
Сенной, пер., рус
Сеченова, ул., рус
Сивашский, пер., рус
Сидора Ковпака, ул., рус
Сикорского Игоря, ул., рус
Силикатная, ул., рус
Силикатный, пер., рус
Сичевой, пер., рус
Скалистая, ул., рус
Сковороды, пер., рус
Соборная, ул., рус
Солнечный, тупик, рус
Сорочинский, пер., рус
Сосновская, ул., рус
Софиевская, ул., рус
Софьи Перовской, ул., рус
Спасский, пер., рус
Спокойный, тупик, рус
Степана Бандеры, пер., рус
