19 Партсъезда, ул., рус
Тургенева, ул., рус
Тюменская, ул., рус
Углицкая, ул., рус
Узкий, пер., рус
Узловая, ул., рус
УКкраинская, ул., рус
Умрихина, ул., рус
Уральская, ул., рус
Урицкого, ул., рус
Урожайная, ул., рус
Усадебная, ул., рус
Ушакова, площадь, рус
Ушакова балка, ул., рус
Фарватерная, ул., рус
Федоровская, ул., рус
Федоровский проезд, ул., рус
Федюхина, ул., рус
Федько, ул., рус
Феодосийская, ул., рус
Физкультурная, ул., рус
Физкультурный, пер., рус
Фильченкова, ул., рус
Фиолентовское ,шоссе, рус
Флагманская, ул., рус
Флотская, ул., рус
Флюсовая, ул., рус
Фонтанная, ул., рус
Фонтанный, пер., рус
Фрегатный, проезд, рус
Фролова, ул., рус
Фрунзе, ул., рус
Фурманова, ул., рус
Хабаровская, ул., рус
Халтурина, ул., рус
Харченко, ул., рус
Харьковская, ул., рус
Херсонесский заповедник, ул., рус
Херсонская, ул., рус
Хмельницкого, ул., рус
Хрулёва, ул., рус
Хрусталёва, ул., рус
Хрущёва, ул., рус
Хуторский, ул., рус
Хуторский проезд, ул., рус
Цветочная, ул., рус
Цибулько, ул., рус
Цимлянская, ул., рус
Циолковского, ул., рус
Цыганкова, ул., рус
Чакряна, ул., рус
Чапаева, ул., рус
Частника, ул., рус
Челнакова, ул., рус
Челюскинцев, ул., рус
Челябинская, ул., рус
Челябинский, пер., рус
Черниговская, ул., рус
Черноморская, ул., рус
Чернореченская, ул., рус
Чернышевского, ул., рус
Черцова, ул., рус
Чесменская, ул., рус
Четвертакова, ул., рус
Чехова, ул., рус
Читинская, ул., рус
Шатурская, ул., рус
Шевкопляса, ул., рус
Шелковичная, ул., рус
Шелкунова, ул., рус
Шестакова, спуск, рус
Школьная, ул., рус
Шмидта, ул., рус
Шостака, ул., рус
Штурвальная, ул., рус
Штурманская, ул., рус
Штурмовой, пер., рус
Штурмовой тупик, ул., рус
Шубикова, ул., рус
Щабалина, ул., рус
Щварца, ул., рус
Щелкунова, ул., рус
Щербака, ул., рус
Щитовая, ул., рус
Щорса, ул., рус
Элеваторная, ул., рус
Энергетиков, ул., рус
Эпроновская, ул., рус
Эскадренная, ул., рус
Эстонская, ул., рус
Юдина, ул., рус
Юферова, переулок, рус
Яблочкова, ул., рус
Ягодная, ул., рус
Язоновский, переулок, рус
Якова Иванова, ул., рус
Якорная, ул., рус
Якутская, ул., рус
Яличный, переулок, рус
Ялтинская, ул., рус
Ялтинское ,шоссе, рус
Янтарная, ул., рус
Ярославская, ул., рус
Ясная, ул., рус
Ясный, переулок, рус
