1 Мая, ул., рус
6 Веревчина, вул., укр
6 Польова, вул., укр
6 Східна, вул., укр
6 та Западна, вул., укр
6 Текстильна, вул., укр
7 Верьовчина, вул., укр
7 Польова, вул., укр
7 Східна, вул., укр
7 Текстильна, вул., укр
8 Верьовчина, вул., укр
8 ма Західна, вул., укр
8 Польова, вул., укр
8 Східна, вул., укр
8 Текстильна, вул., укр
9 Східна, вул., укр
9 та Західна, вул., укр
9 Текстильна, вул., укр
Авиаторський, вул., укр
Авіаторський, пров., укр
Агрономічна, вул., укр
Айвазовського, вул., укр
Андрія Грабенка, вул., укр
Антипенка, вул., укр
Антіпенка, вул., укр
Антона Головатого, вул., укр
Арктична, вул., укр
Артилеристів, вул., укр
Бабовняний, пров., укр
Баженова, вул., укр
Баранова-Росіне, проїзд
Батова, вул., укр
Белинського, вул., укр
Белінського, вул., укр
Береговий, пров., укр
Бериславське, шосе
Бериславський, пров., укр
Биковського, вул., укр
Білозерський, пров., укр
Білоруська, вул., укр
Богдана Хмельницького, вул., укр
Богородицька, вул., укр
Бойка, вул., укр
Бориса Мозолевського, вул., укр
Брюллова, пров., укр
Будівельний, пров., укр
Будівельників, вул., укр
Бурзи, вул., укр
Бурназяна, вул., укр
Василя Стуса, вул., укр
Вахтангова, вул., укр
Вербовий, пров., укр
Весела, вул., укр
Весняний, пров., укр
Видригана, вул., укр
Виноградний, пров., укр
Висикосна, вул., укр
Високий, пров., укр
Вишнева, вул., укр
Вишневий, пров., укр
Військовий, проїзд
Віктора Гошкевича, вул., укр
Віний, пров., укр
Віннера, вул., укр
Вітрильна, вул., укр
Водопроводний, пров., укр
Волгоградська, вул., укр
Володимира Великого, вул., укр
Вороніхіна, вул., укр
Воронцовська, вул., укр
Вячеслава Чорновола, шосе
Гагарина, вул., укр
Гагаріна, вул., укр
Гагаріна, пров., укр
Газова, вул., укр
Гастелло, пров., укр
Генерала Алмазова, вул., укр
Героїв Крут, вул., укр
Герцена, вул., укр
Гетьмана Дорошенка, вул., укр
Гетьмана Сагайдачного, вул., укр
Гімназична, вул., укр
Гірського, вул., укр
Гмирьова, вул., укр
Говорова, вул., укр
Гоголя, вул., укр
Гончарна, вул., укр
Гончарова, вул., укр
Готельний, пров., укр
Гражданська, вул., укр
Грибаєдова, вул., укр
Грідасова, вул., укр
Дар'ївська, вул., укр
Джанкойський, пров., укр
Дмитра Марковича, вул., укр
Дмитра Ульянова, вул., укр
Дмитрія Ульянова, вул., укр
Дніпровська, вул., укр
Дністровський, пров., укр
Добролюбова, вул., укр
Докучаєва, вул., укр
Донецька, вул., укр
Донской, пров., укр
Донський, пров., укр
Дорофеєва, вул., укр
Дорофієва, вул., укр
Достоєвського, вул., укр
Дровніка, вул., укр
Дубасова, вул., укр
Економічеська, вул., укр
Економічний, пров., укр
Єврейська, вул., укр
Железняка, вул., укр
Житомирський, пров., укр
Жуковського, вул., укр
Заводська, вул., укр
Загородня, вул., укр
Залаегерсег, вул., укр
Залізничників, вул., укр
Запорізька, вул., укр
Запорожська, вул., укр
Запорожчука, вул., укр
Засипна Балка, вул., укр
Зелена, вул., укр
З-й Флотський, пров., укр
Зрощувальний, пров., укр
Йосипа Пачоського, пров., укр
Івана Богуна, вул., укр
Івана Карпенка-Карого, вул., укр
Івана Франка, вул., укр
Івана Челюка, проїзд
Ізмайловський, пров., укр
Ілюші Куліка, вул., укр
Ілька Борщака, вул., укр
Інгульський, пров., укр
Інженера Корсакова, пров., укр
Ісаака Гуревича, пров., укр
Ісмаїла Гаспринського, вул., укр
Казацький, пров., укр
Камінний, пров., укр
Канальна, вул., укр
Канатна, вул., укр
